trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-184.5184036224549,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-183.3325797338016,"{0: 10, 1: 5, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-175.21520272612742,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-44.232891161450425,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-55.91939039845189,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-224.69678201315446,"{0: 7, 1: 4, 2: 3, 3: 3, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-137.8542030753153,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-224.61587097819768,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-158.88231055091617,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-64.9852867225948,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,0,-198.99927275063447,"{0: 22, 1: 3, 2: 5, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-41.26383384812615,"{0: 29, 1: 3, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-150.5862996845333,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-69.01438741651472,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-104.5392820619955,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,6,-72.55261897717334,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-65.15842599106799,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,16,19.524447255223915,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,19.765798651939306,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-70.25047811024908,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,0,-10.084822425379087,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,11,22.286749910187428,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,0,18.450101731991975,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",35,0,-45.85694578994348,"{0: 32, 1: 0, 2: 1, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-24.685267614564175,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,9.681938936556751,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-54.29899736597459,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,3,-28.59883688133272,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,8.77428005109602,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-36.66414113688193,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
