trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 0.9980019986673331}",20,0,-32.65197855342101,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.002, 'e': 0.9960079893439915}",20,0,-78.6037570408875,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.002, 'e': 0.9940179640539353}",20,0,-39.77086496675267,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.002, 'e': 0.9920319148370607}",25,0,-162.83172866383717,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
5,False,"{'a': 0.002, 'e': 0.9900498337491681}",25,0,-131.51285440452227,"{0: 12, 1: 2, 2: 9, 3: 2, 4: 0}",0
6,False,"{'a': 0.002, 'e': 0.9880717128619305}",25,0,-80.93322564634553,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.002, 'e': 0.9860975442628619}",20,0,-149.73760806971313,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.002, 'e': 0.9841273200552851}",30,9,-130.4343572498394,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 2}",1
9,False,"{'a': 0.002, 'e': 0.9821610323583008}",30,0,-102.66428084618775,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 0}",0
10,False,"{'a': 0.002, 'e': 0.9801986733067553}",30,0,-128.7038958784464,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.97824023505121}",20,0,-81.64317552392826,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
12,False,"{'a': 0.002, 'e': 0.9762857097579093}",30,0,-67.54495907738739,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.002, 'e': 0.9743350896087494}",20,0,-162.26400152481324,"{0: 10, 1: 3, 2: 2, 3: 3, 4: 2}",0
14,False,"{'a': 0.002, 'e': 0.9723883668012469}",25,0,-157.86760773825102,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.002, 'e': 0.9704455335485082}",20,0,-139.25215485132264,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.002, 'e': 0.9685065820791976}",20,0,-129.1549312589704,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.002, 'e': 0.9665715046375066}",20,0,-89.23648047297115,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.002, 'e': 0.9646402934831231}",20,0,-91.27280840181477,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.002, 'e': 0.9627129408911995}",20,0,-128.05065207563706,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.002, 'e': 0.9607894391523232}",30,0,-271.45799343681205,"{0: 15, 1: 1, 2: 8, 3: 2, 4: 4}",0
21,False,"{'a': 0.002, 'e': 0.9588697805724845}",20,0,-116.08980342055276,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
22,False,"{'a': 0.002, 'e': 0.9569539574730467}",25,6,-136.60857923867823,"{0: 9, 1: 3, 2: 3, 3: 3, 4: 1}",1
23,False,"{'a': 0.002, 'e': 0.9550419621907147}",20,0,-102.84850979783174,"{0: 8, 1: 8, 2: 3, 3: 0, 4: 1}",0
24,False,"{'a': 0.002, 'e': 0.9531337870775047}",20,0,-131.81471190838403,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
25,False,"{'a': 0.002, 'e': 0.951229424500714}",20,0,-131.25443330064965,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
26,False,"{'a': 0.002, 'e': 0.9493288668428895}",20,0,-135.67417724360902,"{0: 9, 1: 7, 2: 1, 3: 1, 4: 2}",0
27,False,"{'a': 0.002, 'e': 0.9474321065017983}",25,0,-116.16072830739746,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
28,False,"{'a': 0.002, 'e': 0.9455391358903963}",30,0,-351.31857287789063,"{0: 12, 1: 4, 2: 4, 3: 5, 4: 5}",0
29,False,"{'a': 0.002, 'e': 0.9436499474367985}",30,0,-90.77424963074937,"{0: 16, 1: 7, 2: 7, 3: 0, 4: 0}",0
30,False,"{'a': 0.002, 'e': 0.9417645335842487}",30,0,-132.43281128857066,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
31,False,"{'a': 0.002, 'e': 0.9398828867910889}",20,5,-33.94317662870398,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
32,False,"{'a': 0.002, 'e': 0.9380049995307295}",30,0,-168.43852917531134,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 4}",0
33,False,"{'a': 0.002, 'e': 0.9361308642916188}",20,0,-88.87432783240374,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
34,False,"{'a': 0.002, 'e': 0.9342604735772135}",30,6,-91.93586264230002,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 2}",1
35,False,"{'a': 0.002, 'e': 0.9323938199059483}",30,0,-174.9926336052304,"{0: 16, 1: 6, 2: 5, 3: 0, 4: 3}",0
36,False,"{'a': 0.002, 'e': 0.9305308958112057}",20,2,-130.05721787905162,"{0: 8, 1: 2, 2: 5, 3: 2, 4: 1}",1
37,False,"{'a': 0.002, 'e': 0.9286716938412872}",30,0,-185.7079597613172,"{0: 14, 1: 5, 2: 8, 3: 1, 4: 2}",0
38,False,"{'a': 0.002, 'e': 0.9268162065593822}",25,0,-175.14930712475459,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
39,False,"{'a': 0.002, 'e': 0.9249644265435393}",20,0,-98.12256290134016,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
40,False,"{'a': 0.002, 'e': 0.9231163463866358}",20,0,-56.135619555945404,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
