trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 0.1}",20,0,-100.78954186959399,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
2,False,"{'a': 0.002, 'e': 0.1}",25,0,-108.67215678747706,"{0: 11, 1: 7, 2: 5, 3: 2, 4: 0}",0
3,False,"{'a': 0.002, 'e': 0.1}",25,1,-144.73259566458864,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 3}",1
4,False,"{'a': 0.002, 'e': 0.1}",30,0,-124.82560245157362,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.1}",25,0,-160.1591184468533,"{0: 11, 1: 6, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.002, 'e': 0.1}",25,0,-142.41326499906458,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
7,False,"{'a': 0.002, 'e': 0.1}",20,0,-132.1087022195646,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
8,False,"{'a': 0.002, 'e': 0.1}",25,0,-202.42822643221024,"{0: 10, 1: 5, 2: 7, 3: 0, 4: 3}",0
9,False,"{'a': 0.002, 'e': 0.1}",25,0,-183.32823905088244,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
10,False,"{'a': 0.002, 'e': 0.1}",20,12,-30.558250019968803,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
11,False,"{'a': 0.002, 'e': 0.1}",20,0,-61.92899048019072,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.002, 'e': 0.1}",25,0,-131.71369056803198,"{0: 11, 1: 5, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.002, 'e': 0.1}",25,0,-138.03793760523916,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.002, 'e': 0.1}",30,0,-348.5326848630803,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 7}",0
15,False,"{'a': 0.002, 'e': 0.1}",20,0,-139.85155364108493,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.002, 'e': 0.1}",35,0,-147.20975880949874,"{0: 21, 1: 3, 2: 9, 3: 1, 4: 1}",0
17,False,"{'a': 0.002, 'e': 0.1}",25,0,-93.00954976091484,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.002, 'e': 0.1}",20,0,-196.79766531069174,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
